File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
BuiltInPlugins.zip,9546e6946cbeb793820d1924f7d489de,9848592,11931596
BuiltInStandalonePlugins.zip,12e37e42a65bdeb5f97511bb5454a6c4,1388028,1681359
Plugins.zip,a21e03dff91ede3102ff4186fd4b6c44,694396,1479168
Qml.zip,ae16d3bf2dac1345fedded48047f378f,1587037,4422016
RobloxStudio.zip,84eb32073f7bcd165659a19be3c19031,24237145,55200314
Libraries.zip,142cc8d33fc1ac659ddf266d769b489a,9176818,23426624
LibrariesQt5.zip,5203eedb97fadc4c17cb47991eca3d68,31755327,79163904
content-avatar.zip,736e1d0362b0cbe9a0dab00cea9a9610,181616,916912
content-configs.zip,a4d2ea6929f47dbee58dbe4451cb402f,12887,39756
content-fonts.zip,fc27cf197c9edfcfefa9fb27eeb22f49,3181534,6545454
content-models.zip,7a874a687280fde6d0845353a4394179,164925,697120
content-qt_translations.zip,83e226e24d2a3368323959437ee4293e,247879,815789
content-sky.zip,e1149f28db7ee8dea95d6b7ab5b94160,12315,13730
content-sounds.zip,c6e058210724bd746b7ae9b0c43a4cac,351545,375510
shaders.zip,ca0da851f7976f9dc40511821f60b5ec,1572351,10430710
ssl.zip,a1d4a947ce63045d9595b8349cb09c12,126798,222997
content-textures2.zip,ec3db89ab660752779f49f2fcba2025b,11121319,12011516
content-textures3.zip,cd9fc0b0bf06115f9732437d227edfc1,30131463,48725908
content-terrain.zip,7970f2b2bde1750b47ac2c83b8984032,24718164,36359201
content-platform-fonts.zip,00b01849ef94f80c58907832d1a145c7,13681295,16427228
extracontent-scripts.zip,2226dd5d50fd0faf061f3dee1161718f,1395875,4301344
extracontent-luapackages.zip,cdc8b1c604f9811df0e30bebc6107305,2568108,4777758
extracontent-translations.zip,e430fab74237a5e290bfbd801f8d59e7,106158,395603
extracontent-models.zip,c80bc86f22dd4c72f499b7c6eeb0d874,1743772,2102110
extracontent-textures.zip,0a67138a6e1bf72a3c8a970e0acc5221,6476967,6516447
redist.zip,1b4efa233a27aa865cef90e179a0b87c,2014690,4842240
